-16	-13	-9
-15	-13	-9
-14	-13	-6
-13	-20	-6
-12	-22	-4
-11	-22	-2
-10	-24	6
-9	-29	6
-8	-29	5
-7	-29	2
-6	-29	2
-5	-29	4
-4	-29	5
-3	-30	6
-2	-31	8
-1	-32	9
0	-33	10
1	-33	12
2	-33	13
3	-32	15
4	-32	15
5	-32	16
6	-32	17
7	-32	19
8	-32	20
9	-34	21
10	-34	22
11	-32	24
12	-33	26
13	-34	26
14	-35	27
15	-36	28
16	-36	28
17	-36	29
18	-36	29
19	-36	29
20	-36	30
21	-36	31
22	-36	31
23	-36	32
24	-37	32
25	-39	33
26	-39	35
27	-35	34
28	-36	36
29	-36	36
30	-36	35
31	-34	35
32	-34	34
33	-34	34
34	-34	34
35	-31	36
36	-33	37
37	-33	36
38	-33	36
39	-32	36
40	-31	36
41	-30	33
42	-29	33
43	-29	33
44	-29	33
45	-29	33
46	-29	32
47	-29	32
48	-29	32
49	-27	30
50	-27	30
51	-27	30
52	-27	30
53	-25	25
54	-25	24
55	-25	24
56	-25	24
57	-25	24
58	-22	23
59	-21	23
60	-20	23
61	-19	23
62	-18	22
63	-18	21
64	-18	19
65	-18	18
66	-18	17
67	-16	14
68	-6	14
69	-4	13
70	1	12
